obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur
HAI-1991-1,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,1991-02-07,1991-09-30,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1953,-777,1953-07-15,NA,http://dbpedia.org/resource/Jean-Bertrand_Aristide,0,3,6,2,NA,NA
HAI-1991-2,81e0c2ee-1e42-11e4-b4cd-db5882bf8def,41,HAI,Cedras,1991-09-30,1994-10-14,Irregular,Foreign,Removed through Threat of Foreign Force,0,Exile,M,1949,-777,NA,NA,NA,1,4,9,1,NA,NA
HAI-1994,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,1994-10-15,1996-02-07,Foreign Imposition,Regular,Regular,1,OK,M,1953,-777,1953-07-15,NA,http://dbpedia.org/resource/Jean-Bertrand_Aristide,2,1,0,0,NA,NA
HAI-1996,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Preval,1996-02-07,2001-02-07,Regular,Regular,Regular,0,OK,M,1943,-777,NA,NA,http://dbpedia.org/resource/Ren%C3%A9_Pr%C3%A9val,0,1,0,0,NA,NA
HAI-2001,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,2001-02-08,2004-02-29,Regular,Irregular,"Removed by Rebels, with Foreign Support",2,Exile,M,1953,-777,1953-07-15,NA,http://dbpedia.org/resource/Jean-Bertrand_Aristide,0,3,3,1,NA,NA
HAI-2004,81e0c2f0-1e42-11e4-b4cd-db5882bf8def,41,HAI,Boniface Alexandre,2004-02-29,2006-05-14,Regular,Regular,Regular,0,OK,M,1936,-777,NA,NA,NA,0,1,0,0,NA,NA
HAI-2006,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Preval,2006-05-14,2011-05-14,Regular,Regular,Regular,1,OK,M,1943,-777,NA,NA,NA,0,1,0,0,NA,NA
HAI-2011,824ff802-1e42-11e4-b4cd-db5882bf8def,41,HAI,Martelly,2011-05-14,2014-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1961,-777,1961-02-12,NA,NA,0,-888,-888,-888,NA,NA
URU-1886-1,8204d031-1e42-11e4-b4cd-db5882bf8def,165,URU,Francisco Antonino Vidal,1886-03-01,1886-05-24,Regular,Irregular,Unknown,2,Missing: No Information Found,M,1827,1891,NA,NA,NA,0,3,-999,-666,NA,NA
SWD-1883,8224dbfe-1e42-11e4-b4cd-db5882bf8def,380,SWD,Thyselius,1883-06-13,1884-05-16,Regular,Regular,Regular,0,OK,M,1811,1891,1811-06-08,1891-01-11,http://dbpedia.org/resource/Carl_Johan_Thyselius,0,1,0,0,NA,NA
CAN-1873,81ddb59d-1e42-11e4-b4cd-db5882bf8def,20,CAN,Mackenzie,1873-11-07,1878-10-17,Regular,Regular,Regular,0,OK,M,1822,1892,NA,1892-04-17,http://dbpedia.org/resource/Alexander_Mackenzie,0,1,0,0,NA,NA
BRA-1889,81fab41c-1e42-11e4-b4cd-db5882bf8def,140,BRA,M. D. da Fonseca,1889-11-15,1891-11-23,Irregular,Irregular,Unknown,0,OK,M,1823,1892,NA,NA,NA,1,3,-999,0,Uncle of H. R. da Fonseca%81fb4696-1e42-11e4-b4cd-db5882bf8def,0
SPN-1875-1,821072f2-1e42-11e4-b4cd-db5882bf8def,230,SPN,Jovellar,1875-09-11,1875-12-02,Regular,Regular,Regular,0,OK,M,1819,1892,NA,NA,NA,0,1,0,0,NA,NA
USA-1877,81dcc177-1e42-11e4-b4cd-db5882bf8def,2,USA,Hayes,1877-03-04,1881-03-04,Regular,Regular,Regular,0,OK,M,1822,1893,NA,1893-01-17,http://dbpedia.org/resource/Rutherford_B._Hayes,0,1,0,0,NA,NA
CAN-1891,81ddb59e-1e42-11e4-b4cd-db5882bf8def,20,CAN,Abbott,1891-06-16,1892-12-05,Regular,Regular,Regular,0,OK,M,1821,1893,NA,1893-10-30,http://dbpedia.org/resource/John_Abbott,0,1,0,0,NA,NA
BOL-1876,81fcfe16-1e42-11e4-b4cd-db5882bf8def,145,BOL,Daza,1876-05-04,1879-12-27,Irregular,Irregular,Unknown,0,Exile,M,1840,1893,1840-01-14,NA,NA,1,3,-999,1,NA,NA
FRN-1880,820b7d4f-1e42-11e4-b4cd-db5882bf8def,220,FRN,Ferry,1880-09-22,1881-11-10,Regular,Regular,Regular,0,OK,M,1832,1893,NA,NA,http://dbpedia.org/resource/Jules_Ferry,0,1,0,0,NA,NA
FRN-1883-2,820b7d4f-1e42-11e4-b4cd-db5882bf8def,220,FRN,Ferry,1883-02-19,1885-03-30,Regular,Regular,Regular,1,OK,M,1832,1893,NA,NA,http://dbpedia.org/resource/Jules_Ferry,0,1,0,0,NA,NA
